,Author,Published Date,Title,Text,Title_without_stopwords,Text_without_stopwords,Language,Site_url,Main_img_url,Type,Label,hasImage
10,Adam Laxalt,"• August 31,","The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Unavailable,The public health order Title 42 `` last tool Border Patrol stop overwhelming flood illegal immigrants pouring country . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,False,Unknown,Fake,False
11,Facebook posts,"August 31, 2022","""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Unavailable,`` Documents prove White House behind entire FBI targeting Trump . Biden lied . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/document-doesnt-prove-biden-lied-about-mar-lago-pr/,False,Unknown,Fake,False
12,Facebook posts,"August 31, 2022","The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",Unavailable,"The IRS hiring 87,000 new agents police people owe federal tax student loans forgiven .",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/irs-not-expanding-its-workforce-because-bidens-stu/,False,Unknown,Fake,False
13,Facebook posts,"August 31, 2022","Fox News sought the legal ""right to tell lies.""",Unavailable,Fox News sought legal `` right tell lies . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/viral-post-falsely-claims-fox-news-sought-legal-ri/,False,Unknown,Fake,False
14,Facebook posts,"August 31, 2022",“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Unavailable,“ The Earth started spinning faster ever scientists gravely concerned . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,False,Unknown,Real,False
15,Facebook posts,"• August 31,",El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,Unavailable,El Presidente de Rusia Vladimir Putin “ anuncia que se arrepiente de invadir Ucrania ” .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/putin-no-ha-anunciado-que-esta-arrepentido-de-inva/,False,Unknown,Fake,False
16,Instagram posts,"August 31, 2022",The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,Unavailable,The U.K. longer recommending Pfizer-BioNTech COVID-19 mRNA vaccine pregnant women .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/outdated-report-misconstrues-uks-covid-19-vaccine-/,False,Unknown,Fake,False
17,American Action Network,"August 31, 2022","Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",Unavailable,Joe Biden 's student debt forgiveness plan `` bailout rich kids . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/american-action-network/most-relief-bidens-student-loan-forgiveness-plan-f/,False,Unknown,Fake,False
18,Facebook posts,"August 31, 2022",An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,Unavailable,An obscure filing Federal Election Commission shows Biden formally announced bid another term .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/no-fec-filing-doesnt-mean-joe-biden-has-announced-/,False,Unknown,Fake,False
19,Facebook posts,"August 31, 2022",Joe Biden threatened to assassinate Ukraine’s former president.,Unavailable,Joe Biden threatened assassinate Ukraine ’ former president .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,False,Unknown,Fake,False
20,Instagram posts,"August 31, 2022",“Starbucks just announced that they’re going cashless.”,Unavailable,“ Starbucks announced ’ going cashless . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/rumors-spread-starbucks-turning-its-stores-cashles/,False,Unknown,Fake,False
21,Charlie Kirk,"August 31, 2022",“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,Unavailable,“ Harvard sitting top $ 54 billion hedge fund call ‘ endowment ’ pay zero taxes . Yale $ 31 Billion . Stanford $ 29 Billion . Princeton $ 26 Billion . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/charlie-kirk/some-university-endowments-are-taxed-there-are-lim/,False,Unknown,Real,False
22,Joni Ernst,"August 30, 2022","“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",Unavailable,"“ The nonpartisan Congressional Budget Office says supersized staff , IRS audit rate ‘ would rise ALL taxpayers ’ regardless income , would even result audits innocent Americans paid taxes ’ owe IRS anything . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/joni-ernst/ernst-newsletter-skips-part-report-irs-audits/,False,Unknown,Real,False
23,Facebook posts,"August 30, 2022","Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Unavailable,"Another continent may exist beneath Antarctica , also home homicidal sea creature unknown origin",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/claim-about-hidden-antarctic-continent-and-killer-/,False,Unknown,Fake,False
24,Facebook posts,"August 30, 2022",The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,Unavailable,The FBI “ spent time investigating ” Jan. 6 Capitol attack 9/11 .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/jan-6-capitol-attack-investigation-nowhere-near-le/,False,Unknown,Fake,False
25,Facebook posts,"August 30, 2022","The National Guard was activated Jan. 6, 2021, and “is in complete control.”",Unavailable,"The National Guard activated Jan. 6 , 2021 , “ complete control . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/no-us-military-has-not-taken-control-government/,False,Unknown,Fake,False
26,Mark Finchem,"August 30, 2022","“In Arizona, we have flood the zone with fake ballots.”",Unavailable,"“ In Arizona , flood zone fake ballots . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/mark-finchem/arizona-republican-secretary-state-candidate-wrong/,False,Unknown,Fake,False
27,Facebook posts,"August 30, 2022",Student debt relief is taxable by the Internal Revenue Service.,Unavailable,Student debt relief taxable Internal Revenue Service .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/irs-wont-tax-student-loan-relief-some-states-might/,False,Unknown,Fake,False
28,Instagram posts,"August 30, 2022","Instagram’s ""precise location"" feature can be used by criminals to target victims.",Unavailable,Instagram ’ `` precise location '' feature used criminals target victims .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/no-instagram-not-revealing-your-location-without-y/,False,Unknown,Fake,False
29,Instagram posts,"August 30, 2022",Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,Unavailable,Moderna ’ lawsuits Pfizer-BioNTech shows COVID-19 vaccines works pandemic started .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/modernas-lawsuits-against-pfizer-do-not-prove-covi/,False,Unknown,Fake,False
30,The Gateway Pundit,"September 6, 2022",Bank of America “announced a new mortgage home loan program for first-time homebuyers. But only blacks and Hispanics will be eligible.”,Unavailable,Bank America “ announced new mortgage home loan program first-time homebuyers . But blacks Hispanics eligible . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/06/gateway-pundit/bank-americas-new-home-loan-program-does-not-exclu/,False,Unknown,Fake,False
31,National Republican Senatorial Committee,"September 6, 2022","Says Mandela Barnes ""supports stripping health care away from millions.""",Unavailable,Says Mandela Barnes `` supports stripping health care away millions . '',Unavailable,English,https://www.politifact.com//factchecks/2022/sep/06/national-republican-senatorial-committee/no-despite-claim-barnes-does-not-back-stripping-he/,False,Unknown,Fake,False
32,Charlie Crist,"September 2, 2022","Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",Unavailable,Gov . Ron DeSantis raised `` taxes middle class $ 1.5 billion giving away $ 624 million big corporations . '',Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/charlie-crist/charlie-crist-misleads-ron-desantis-record-taxes/,False,Unknown,Fake,False
33,Tom Cotton,"September 2, 2022","“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",Unavailable,"“ 60 % Alaska voters voted Republican , thanks convoluted process ballot exhaustion — disenfranchises voters — Democrat ‘ . ’ ''",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/tom-cotton/how-tom-cotton-misleads-about-ranked-choice-voting/,False,Unknown,Fake,False
34,Democratic Party of Wisconsin,"September 2, 2022",Says “Tim Michels doesn’t think gay people should be out in public.”,Unavailable,Says “ Tim Michels ’ think gay people public . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/02/state-democratic-party-wisconsin/wisconsin-dems-exaggerate-claim-tim-michels-believ/,False,Unknown,Fake,False
35,CatholicVote,"September 1, 2022",Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,Unavailable,Three churches targeted arson attacks summer “ protect unborn babies women need . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/catholicvote/catholic-groups-ad-attacking-biden-overstates-role/,False,Unknown,Fake,False
36,Herschel Walker,"September 1, 2022","Joe Biden and Raphael Warnock ""are spending $1.5 billion on ‘urban forestry’ and raising taxes on those making under $200k to pay for it.”",Unavailable,Joe Biden Raphael Warnock `` spending $ 1.5 billion ‘ urban forestry ’ raising taxes making $ 200k pay . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/herschel-walker/what-herschel-walker-gets-wrong-and-right-about-fe/,False,Unknown,Real,False
37,Cheri Beasley,"September 1, 2022","“Sixty-four members of Congress — Republicans and Democrats — have broken a law to stop insider stock trading, yet Washington refuses to do anything about it.”",Unavailable,"“ Sixty-four members Congress — Republicans Democrats — broken law stop insider stock trading , yet Washington refuses anything . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/cheri-beasley/beasley-ad-half-right-about-stock-act-violations/,False,Unknown,Real,False
38,Social Media,"• September 1,","In New York, you need to show identification to buy whipped cream, but not to vote.",Unavailable,"In New York , need show identification buy whipped cream , vote .",Unavailable,English,https://www.politifact.com//factchecks/2022/sep/01/social-media/show-id-buy-whipped-cream-not-vote-new-york-s-misl/,False,Unknown,Fake,False
39,Instagram posts,"August 31, 2022","""Water-fueled car can travel from LA to NY on 22 gallons.""",Unavailable,`` Water-fueled car travel LA NY 22 gallons . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/claim-water-fueled-dune-buggy-defies-physics/,False,Unknown,Fake,False
40,Adam Laxalt,"• August 31,","The public health order Title 42 is ""the last tool Border Patrol has to stop the overwhelming flood of illegal immigrants pouring into our country.”",Unavailable,The public health order Title 42 `` last tool Border Patrol stop overwhelming flood illegal immigrants pouring country . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/adam-laxalt/title-42-not-last-tool-border-patrol-has-prevent-i/,False,Unknown,Fake,False
41,Facebook posts,"August 31, 2022","""Documents prove White House behind entire FBI targeting of Trump. Biden lied.""",Unavailable,`` Documents prove White House behind entire FBI targeting Trump . Biden lied . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/document-doesnt-prove-biden-lied-about-mar-lago-pr/,False,Unknown,Fake,False
42,Facebook posts,"August 31, 2022","The IRS is hiring 87,000 new agents to police people who will owe more federal tax after having their student loans forgiven.",Unavailable,"The IRS hiring 87,000 new agents police people owe federal tax student loans forgiven .",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/irs-not-expanding-its-workforce-because-bidens-stu/,False,Unknown,Fake,False
43,Facebook posts,"August 31, 2022","Fox News sought the legal ""right to tell lies.""",Unavailable,Fox News sought legal `` right tell lies . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/viral-post-falsely-claims-fox-news-sought-legal-ri/,False,Unknown,Fake,False
44,Facebook posts,"August 31, 2022",“The Earth just started spinning faster than ever before and scientists are gravely concerned.”,Unavailable,“ The Earth started spinning faster ever scientists gravely concerned . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/earth-spun-little-faster-recently-scientists-arent/,False,Unknown,Real,False
45,Facebook posts,"• August 31,",El Presidente de Rusia Vladimir Putin “anuncia que se arrepiente de invadir Ucrania”.,Unavailable,El Presidente de Rusia Vladimir Putin “ anuncia que se arrepiente de invadir Ucrania ” .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/putin-no-ha-anunciado-que-esta-arrepentido-de-inva/,False,Unknown,Fake,False
46,Instagram posts,"August 31, 2022",The U.K. is no longer recommending the Pfizer-BioNTech COVID-19 mRNA vaccine for pregnant women.,Unavailable,The U.K. longer recommending Pfizer-BioNTech COVID-19 mRNA vaccine pregnant women .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/outdated-report-misconstrues-uks-covid-19-vaccine-/,False,Unknown,Fake,False
47,American Action Network,"August 31, 2022","Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",Unavailable,Joe Biden 's student debt forgiveness plan `` bailout rich kids . '',Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/american-action-network/most-relief-bidens-student-loan-forgiveness-plan-f/,False,Unknown,Fake,False
48,Facebook posts,"August 31, 2022",An obscure filing with the Federal Election Commission shows Biden has formally announced his bid for another term.,Unavailable,An obscure filing Federal Election Commission shows Biden formally announced bid another term .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/no-fec-filing-doesnt-mean-joe-biden-has-announced-/,False,Unknown,Fake,False
49,Facebook posts,"August 31, 2022",Joe Biden threatened to assassinate Ukraine’s former president.,Unavailable,Joe Biden threatened assassinate Ukraine ’ former president .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/facebook-posts/biden-didnt-threaten-kill-former-ukrainian-preside/,False,Unknown,Fake,False
50,Instagram posts,"August 31, 2022",“Starbucks just announced that they’re going cashless.”,Unavailable,“ Starbucks announced ’ going cashless . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/instagram-posts/rumors-spread-starbucks-turning-its-stores-cashles/,False,Unknown,Fake,False
51,Charlie Kirk,"August 31, 2022",“Harvard is sitting on top of a $54 billion hedge fund they call an ‘endowment’ that they pay zero taxes on. Yale has $31 Billion. Stanford $29 Billion. Princeton $26 Billion.”,Unavailable,“ Harvard sitting top $ 54 billion hedge fund call ‘ endowment ’ pay zero taxes . Yale $ 31 Billion . Stanford $ 29 Billion . Princeton $ 26 Billion . ”,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/charlie-kirk/some-university-endowments-are-taxed-there-are-lim/,False,Unknown,Real,False
52,Joni Ernst,"August 30, 2022","“The nonpartisan Congressional Budget Office says with the supersized staff, the IRS audit rate ‘would rise for ALL taxpayers’ regardless of income, and would even result in audits of innocent Americans who have paid their taxes and don’t owe the IRS anything.”",Unavailable,"“ The nonpartisan Congressional Budget Office says supersized staff , IRS audit rate ‘ would rise ALL taxpayers ’ regardless income , would even result audits innocent Americans paid taxes ’ owe IRS anything . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/31/joni-ernst/ernst-newsletter-skips-part-report-irs-audits/,False,Unknown,Real,False
53,Facebook posts,"August 30, 2022","Another continent may exist beneath Antarctica, which is also home to homicidal sea creature of unknown origin",Unavailable,"Another continent may exist beneath Antarctica , also home homicidal sea creature unknown origin",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/claim-about-hidden-antarctic-continent-and-killer-/,False,Unknown,Fake,False
54,Facebook posts,"August 30, 2022",The FBI “spent more time investigating” the Jan. 6 Capitol attack than 9/11.,Unavailable,The FBI “ spent time investigating ” Jan. 6 Capitol attack 9/11 .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/jan-6-capitol-attack-investigation-nowhere-near-le/,False,Unknown,Fake,False
55,Facebook posts,"August 30, 2022","The National Guard was activated Jan. 6, 2021, and “is in complete control.”",Unavailable,"The National Guard activated Jan. 6 , 2021 , “ complete control . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/no-us-military-has-not-taken-control-government/,False,Unknown,Fake,False
56,Mark Finchem,"August 30, 2022","“In Arizona, we have flood the zone with fake ballots.”",Unavailable,"“ In Arizona , flood zone fake ballots . ”",Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/mark-finchem/arizona-republican-secretary-state-candidate-wrong/,False,Unknown,Fake,False
57,Facebook posts,"August 30, 2022",Student debt relief is taxable by the Internal Revenue Service.,Unavailable,Student debt relief taxable Internal Revenue Service .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/facebook-posts/irs-wont-tax-student-loan-relief-some-states-might/,False,Unknown,Fake,False
58,Instagram posts,"August 30, 2022","Instagram’s ""precise location"" feature can be used by criminals to target victims.",Unavailable,Instagram ’ `` precise location '' feature used criminals target victims .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/no-instagram-not-revealing-your-location-without-y/,False,Unknown,Fake,False
59,Instagram posts,"August 30, 2022",Moderna’s lawsuits against Pfizer-BioNTech shows COVID-19 vaccines were in the works before the pandemic started.,Unavailable,Moderna ’ lawsuits Pfizer-BioNTech shows COVID-19 vaccines works pandemic started .,Unavailable,English,https://www.politifact.com//factchecks/2022/aug/30/instagram-posts/modernas-lawsuits-against-pfizer-do-not-prove-covi/,False,Unknown,Fake,False
